    131  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16
      4  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
      5  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
      6  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0
      7  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
      8  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
      9  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
     12  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
     13  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
     16  0  0  0  0  0  0  1  1  1  0  0  1  1  1  1  0
     17  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
     18  0  0  0  0  1  1  1  1  0  1  1  0  0  0  0  1
     19  0  0  0  0  0  0  0  0  1  0  0  0  0  1  1  1

