114  6  7  8  9 10 11 12 13 14 15 16 17 18 19
  1  0  0  1  0  1  1  0  0  0  0  0  0  1  0
  2  0  1  1  1  1  1  0  0  0  0  0  0  1  0
  3  1  0  0  0  0  1  0  0  0  0  0  0  0  0
  4  0  0  0  0  0  0  0  0  0  0  0  0  1  0
  5  0  0  0  0  0  0  1  1  0  0  0  0  0  1
  6  0  0  0  0  0  1  1  0  0  0  0  1  1  0
  7  0  0  0  0  0  0  1  1  1  1  0  1  1  1
  8  0  0  0  0  0  0  1  0  0  0 -1  1  0  0
 11  0  0  0  0  0  0  0  0  0  0  0  0  1  1
 17  0  0  0  0  0  0  0  0  0  0  0  0  1  1
 18  0  0  0  0  0  0  0  0  0  0  0  0  0  1

