    160  1  2  3  4  5  6  7  8  9 10 11 12 13
      1  0  0  0  0  0  0  0  0  0  0  0  1  0
      2  0  0  0  0  0  0  0  0  0  0  0  1  0
      3  1  1  0  0  0  0  0  0  0  0  0  0  0
      4  1  1  0  0  0  0  0  0  0  0  0  1  0
      5  1  1  0  0  0  0  0  0  0  0  0  1  0
      6  0  0  0  1  1  0  0  0  0  0  0  0  0
      8  1  1  1  0  0  0  0  0  0  0  0  0  0
     10  1  1  1  1  1  0  1  0  1  0  0  0  0
     11  1  1  1  1  1  1  1  0  0  0  0  0  1
     14  0  0  1  0  0  1  0  1  0  1  1  0  0

