    205  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20
      2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
      3  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
      4  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
      5  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
      7  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
      8  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
      9  1  1  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
     10  0  1  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
     11  1  1  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
     12  1  1  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
     13  1  1  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
     14  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
     15  1  1  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
     16  1  1  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
     17  1  1  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
     18  1  1  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
     21  0  0  0  0  0  0  1  1  0  0  1  1  1  1  1  1  0  1  0  0
     22  0  0  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0  0
     23  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  1  1  1
     24  1  1  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1

