"Askew, R.R. (1961). On the biology of the inhabitants of oak galls of Cynipidae (Hymenoptera) in Britain. Trans. Soc. Brit. Entomol. 14:237-268.",,
Oak galls of N. aprilinus (Quercus robur) Wytham Wood - UK,Mesopolobus fuscipes,Neuroterus aprilinus
Neuroterus aprilinus,1,0
gall tissue (Q. robur),0,1
