"Koepcke, H.W. and Koepcke, M. (1952). Sobre el proceso de transformacion de la materia organica en las playas arenosas marinas del Peru.  Publ. Univ. Nac. Mayer San Marcos, Zoologie Serie A, No. 8, p. 24.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy beaches - Peru,stream and airborne insects,mollusks (Tivela - Donax - Mesodesma) (bivalves),Olivella (gastropod),Emerita analoga (small crustacean),Emerita emerita (small crustacean),Blepharipoda (?),Lepipoda (?),Callianassa (decapod - lobster),Austromenidia and Engraulis (fish),Talitrids (amphipods),Ocypode (ghost crab),Coenobita (hermit crabs),kelp flies,flies - Dermestes - Calliphora - Phaleria (carrion beetles and flies),Staphylinids (rove beetles),vultures (Coragyps - Cathartes - Vultur - Caracara),Rattus (rat),Clausidium (?),Duscicyon (fox),Larus modestus (gull),Crocethia alba (sanderling),Aetobatus (skate/ray),Rhinobatas (guitarfish - ray),Mustelus (shark),fish (Sciaena - Umbrina - Polynemus),shore birds,Conepatus (skunk),Leucopternis (?),Larus belcheri (gull),Larus pipixcan (gull),Brachystosternus (scorpion),Tropidurus (lizard),swallows - bats - Chordeiles (nighthawk),Falco sparverius (kestrel),Geositta (?),Paralichthys (fish),Pelecanus - Phalacrocorax - Sula (pelican - cormorant - gannet),pandion (osprey),Falco peregrinus (peregrine falcon)
Blepharipoda (?),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepipoda (?),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callianassa (decapod - lobster),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austromenidia and Engraulis (fish),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Talitrids (amphipods),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
Ocypode (ghost crab),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,-1,1,1,0,1,0,0,0,0,0,0,0
kelp flies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
flies - Dermestes - Calliphora - Phaleria (carrion beetles and flies),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
Rattus (rat),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larus modestus (gull),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Crocethia alba (sanderling),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fish (Sciaena - Umbrina - Polynemus),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
shore birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Larus pipixcan (gull),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brachystosternus (scorpion),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tropidurus (lizard),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
