AphiaID	ScientificName	DrID	Source	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
158210	Actinauge cristata	749581	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Cnidaria	Anthozoa	Actiniaria	Hormathiidae	Actinauge		cristata	
158210	Actinauge cristata	749227	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Cnidaria	Anthozoa	Actiniaria	Hormathiidae	Actinauge		cristata	
158216	Actinauge verrilli	769677	"Pr̩fontaine, G. & P. Brunel. (1962). Liste d'invert̩br̩s marins recueillis dans l'estuaire du Saint-Laurent de 1929 �� 1934. Naturaliste Canadien, Quebec 89(8-9):237-263, fig. 1."	Animalia	Cnidaria	Anthozoa	Actiniaria	Hormathiidae	Actinauge		verrilli	
592915	Actinauge verrillii	775178	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Cnidaria	Anthozoa	Actiniaria	Hormathiidae	Actinauge		verrillii	
549187	Actinocyclus tenuissimus	708418	"B̩rard-Therriault, L., Poulin, M. and Boss̩, L. 1999. Guide d�۪intentification du phytoplankton marin de l�۪estuaire et du golfe du Saint-Laurent incluant ̩galement certains protozoaires. Publ. sp̩c. Can. Sci. halieut. Aquatic. 128. 387 p. "	Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Hemidiscaceae	Actinocyclus		tenuissimus	
148948	Actinoptychus senarius	708215	"Bates, S.S. and Strain, P.M. 2006. Nutrients and phytoplankton in Prince Edward Island Inlets during late summer to fall, 2001-2003. Can. Tech. Rep. Fish. Aquat. Sci.: 2668: xii + 136 p. "	Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Heliopeltaceae	Actinoptychus		senarius	
148948	Actinoptychus senarius	708416	"B̩rard-Therriault, L., Cardinal, A. and Poulin, M. 1987. Les diatom̩es (Bacillariophyta) benthiques de substrats durs des eaux marines et saum̢tres du Qu̩bec. 8. Centrales. Naturaliste can. (Rev. ��col. Syst.) 114: 81-103."	Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Heliopeltaceae	Actinoptychus		senarius	
148948	Actinoptychus senarius	708587	"Kim, K. Y. , Garbary, D. J. and McLachlan, J.L. 2004.  Phytoplankton dynamics in Pomquet Harbour, Nova Scotia: a lagoon in the southern Gulf of St. Lawrence. Phycologia 43(3) :311-328."	Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Heliopeltaceae	Actinoptychus		senarius	
148948	Actinoptychus senarius	708331	"B̩rard-Therriault, L., Cardinal, A. and Poulin, M. 1987. Les diatom̩es (Bacillariophyta) benthiques de substrats durs des eaux marines et saum̢tres du Qu̩bec. 8. Centrales. Naturaliste can. (Rev. ��col. Syst.) 114: 81-103."	Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Heliopeltaceae	Actinoptychus		senarius	
100839	Actinostola callosa	774235	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Cnidaria	Anthozoa	Actiniaria	Actinostolidae	Actinostola		callosa	
